,age_days,condition,counterbalance,attn1,attn2,test,attn3,rachel_false_belief,diana_false_belief,allie_false_belief,num_speakers,coding_experience,smartphone_frequency,smart_speaker_frequency,voice_assistant_frequency,pass_attn1,pass_attn2,pass_attn3,pass_all_attn,chose_song_1
1,1594,Person,1,spider,wheels,spider,1,1,1,1,1,no experience with coding,About once a day,Several times a day,About once a day,1,1,1,1,1
2,3878,AI,2,wheels,spider,wheels,1,1,1,1,1,no experience with coding,Several times a day,NA,About once a day,1,1,1,1,1
3,4875,Person,3,spider,wheels,spider,1,1,1,1,1,no experience with coding,Several times a day,NA,Several times a day,1,1,1,1,1
4,4059,Person,2,wheels,spider,wheels,1,1,1,1,NA,NA,About once a week,About once a day,NA,1,1,1,1,1
5,2960,Person,3,spider,wheels,spider,1,1,1,1,2,no experience with coding,About once a day,About once a week,About once a day,1,1,1,1,1
6,2960,Person,3,spider,wheels,spider,1,0,0,1,NA,NA,About once a day,NA,About once a day,1,1,1,1,1
7,5202,Person,1,spider,wheels,spider,1,1,1,1,NA,NA,Several times a day,NA,About once a week,1,1,1,1,1
8,4984,Person,3,spider,wheels,spider,1,1,1,1,NA,NA,Several times a day,NA,NA,1,1,1,1,1
9,5451,AI,2,wheels,spider,spider,1,1,1,1,6,coding class at school,Several times a day,Several times a day,Several times a day,1,1,1,1,0
10,3062,AI,3,spider,wheels,spider,1,1,1,1,1,"coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a week,About once a week,About once a week,1,1,1,1,1
11,3736,Person,1,spider,wheels,spider,1,1,1,1,5,after school programs or camps related to coding,Several times a day,Several times a day,Several times a day,1,1,1,1,1
12,2385,AI,1,spider,wheels,wheels,1,0,0,0,3,after school programs or camps related to coding,About once a week,Less than once a week,Never,1,1,1,1,0
13,4166,Person,1,spider,wheels,spider,1,1,1,1,1,no experience with coding,About once a week,About once a day,About once a day,1,1,1,1,1
14,4034,Person,3,spider,wheels,spider,1,1,1,1,0,"coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a day,Less than once a week,NA,1,1,1,1,1
15,1494,Person,3,spider,wheels,wheels,1,0,0,0,0,no experience with coding,Several times a day,Never,Never,1,1,1,1,0
16,1390,Person,2,wheels,spider,wheels,1,0,1,0,0,no experience with coding,Never,Never,Never,1,1,1,1,1
17,1809,AI,3,spider,wheels,spider,1,0,0,0,0,no experience with coding,Less than once a week,Never,Never,1,1,1,1,1
18,4825,AI,2,wheels,spider,spider,1,1,1,1,2,coding class at school,About once a day,About once a week,About once a week,1,1,1,1,0
19,2909,Person,2,wheels,spider,wheels,1,1,1,1,NA,NA,About once a day,NA,NA,1,1,1,1,1
20,1164,Person,3,spider,wheels,spider,1,0,0,0,0,no experience with coding,About once a day,Never,Never,1,1,1,1,1
21,1326,AI,2,wheels,spider,wheels,1,0,0,0,0,no experience with coding,About once a week,Never,Never,1,1,1,1,1
22,2135,Person,3,spider,wheels,spider,1,0,0,0,3,no experience with coding,Never,About once a week,Never,1,1,1,1,1
23,4866,AI,3,spider,wheels,spider,1,1,1,1,1,coding class at school,Several times a day,Less than once a week,NA,1,1,1,1,1
24,2462,AI,4,wheels,spider,wheels,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,1
25,3351,Person,4,wheels,spider,wheels,1,1,1,1,NA,NA,About once a day,NA,Several times a day,1,1,1,1,1
26,1485,Person,1,spider,wheels,spider,1,0,0,0,2,no experience with coding,About once a day,Never,Never,1,1,1,1,1
27,3811,AI,3,spider,wheels,wheels,1,1,1,1,0,no experience with coding,Less than once a week,NA,NA,1,1,1,1,0
28,4876,AI,4,wheels,spider,spider,1,0,0,0,6,coding class at school,Several times a day,About once a day,NA,1,1,1,1,0
29,3765,Person,3,spider,wheels,spider,1,1,1,1,1,after school programs or camps related to coding,About once a day,About once a day,About once a day,1,1,1,1,1
30,3000,AI,1,spider,wheels,wheels,1,1,1,1,0,"coding class at school,after school programs or camps related to coding,coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a day,Never,About once a day,1,1,1,1,0
31,1520,Person,4,wheels,spider,spider,1,0,0,0,1,no experience with coding,About once a week,Several times a day,Several times a day,1,1,1,1,0
32,3831,Person,4,wheels,spider,wheels,1,1,1,1,7,"coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,Several times a day,NA,1,1,1,1,1
33,2816,Person,3,spider,wheels,spider,1,1,1,1,0,after school programs or camps related to coding,Several times a day,NA,NA,1,1,1,1,1
34,1098,AI,1,spider,wheels,spider,1,0,0,0,1,no experience with coding,About once a week,About once a day,About once a day,1,1,1,1,1
35,1579,Person,2,wheels,spider,wheels,1,1,0,0,NA,no experience with coding,About once a week,Several times a day,Several times a day,1,1,1,1,1
36,1868,Person,4,wheels,spider,wheels,1,1,1,1,0,no experience with coding,About once a day,Never,Never,1,1,1,1,1
37,2058,AI,4,wheels,spider,wheels,1,1,0,0,0,"coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a day,Never,About once a day,1,1,1,1,1
38,5072,AI,2,wheels,spider,wheels,1,1,1,1,1,"coding class at school,coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,Less than once a week,NA,1,1,1,1,1
39,4646,AI,2,wheels,spider,spider,1,1,1,1,0,after school programs or camps related to coding,Several times a day,Less than once a week,About once a week,1,1,1,1,0
40,2535,Person,2,wheels,spider,wheels,1,1,1,0,2,no experience with coding,Never,Never,Never,1,1,1,1,1
41,5030,AI,4,wheels,spider,wheels,1,1,1,1,0,no experience with coding,Several times a day,Never,Never,1,1,1,1,1
42,3592,Person,3,spider,wheels,spider,1,1,1,1,3,after school programs or camps related to coding,About once a week,Several times a day,Several times a day,1,1,1,1,1
43,5265,AI,2,wheels,spider,spider,1,1,1,1,3,coding class at school,Several times a day,About once a day,About once a day,1,1,1,1,0
44,3514,Person,1,spider,wheels,spider,1,1,1,0,3,"coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,Several times a day,Several times a day,1,1,1,1,1
45,4272,Person,4,wheels,spider,wheels,1,1,1,1,NA,NA,Several times a day,NA,NA,1,1,1,1,1
46,2414,Person,4,wheels,spider,wheels,1,0,0,0,0,no experience with coding,Less than once a week,NA,NA,1,1,1,1,1
47,5505,AI,2,wheels,spider,spider,1,1,1,1,10,no experience with coding,Several times a day,About once a day,About once a day,1,1,1,1,0
48,3241,AI,4,wheels,spider,wheels,1,1,1,1,2,no experience with coding,Less than once a week,About once a week,NA,1,1,1,1,1
49,1630,AI,4,wheels,spider,spider,1,1,1,1,0,no experience with coding,About once a day,Never,NA,1,1,1,1,0
50,2415,Person,1,spider,wheels,spider,1,1,1,1,NA,coding class at school,About once a week,Never,Never,1,1,1,1,1
51,3706,Person,2,wheels,spider,wheels,1,1,1,1,NA,coding class at school,NA,NA,NA,1,1,1,1,1
52,2631,AI,4,wheels,spider,spider,1,1,1,1,0,"coding class at school,after school programs or camps related to coding,coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a day,Never,About once a week,1,1,1,1,0
53,4056,AI,2,wheels,spider,wheels,1,1,1,1,1,no experience with coding,About once a day,NA,About once a day,1,1,1,1,1
54,1283,Person,2,wheels,spider,wheels,1,0,0,1,0,no experience with coding,About once a week,Never,Never,1,1,1,1,1
55,1344,AI,4,wheels,spider,wheels,1,1,1,1,4,no experience with coding,About once a week,About once a day,About once a week,1,1,1,1,1
56,5161,Person,3,spider,wheels,spider,1,1,1,1,4,after school programs or camps related to coding,Several times a day,Several times a day,Several times a day,1,1,1,1,1
57,3749,Person,2,wheels,spider,wheels,1,1,1,1,NA,no experience with coding,About once a day,NA,About once a week,1,1,1,1,1
58,2838,Person,2,wheels,spider,wheels,1,1,1,1,4,no experience with coding,About once a day,About once a day,About once a day,1,1,1,1,1
59,2536,AI,4,wheels,spider,wheels,1,1,1,1,3,no experience with coding,Several times a day,Several times a day,Several times a day,1,1,1,1,1
60,4342,AI,2,wheels,spider,wheels,1,1,1,1,0,"coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a day,Less than once a week,NA,1,1,1,1,1
61,3540,Person,2,wheels,spider,wheels,1,1,1,1,2,coding class at school,Several times a day,About once a day,About once a day,1,1,1,1,1
62,4924,AI,3,spider,wheels,wheels,1,1,1,1,3,no experience with coding,Several times a day,Several times a day,Several times a day,1,1,1,1,0
63,1250,AI,2,wheels,spider,spider,1,1,1,0,0,no experience with coding,Several times a day,NA,Never,1,1,1,1,0
64,3479,Person,2,wheels,spider,wheels,1,1,1,1,4,coding class at school,Several times a day,Several times a day,Several times a day,1,1,1,1,1
65,4993,AI,4,wheels,spider,spider,1,0,0,1,0,coding class at school,Several times a day,NA,NA,1,1,1,1,0
66,3335,Person,4,wheels,spider,wheels,1,1,1,1,3,coding class at school,About once a week,Less than once a week,About once a week,1,1,1,1,1
67,2157,Person,2,wheels,spider,wheels,1,1,1,1,2,NA,About once a day,About once a day,About once a day,1,1,1,1,1
68,5248,AI,1,spider,wheels,wheels,1,0,1,1,1,no experience with coding,Several times a day,About once a day,About once a day,1,1,1,1,0
69,2033,Person,1,spider,wheels,spider,1,0,0,0,0,no experience with coding,Less than once a week,Never,Never,1,1,1,1,1
70,1615,Person,4,wheels,spider,wheels,1,0,0,0,NA,NA,Several times a day,NA,About once a week,1,1,1,1,1
71,4878,Person,3,spider,wheels,spider,1,1,1,1,0,"coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a day,Never,Never,1,1,1,1,1
72,3293,AI,1,spider,wheels,spider,1,1,1,1,1,no experience with coding,Less than once a week,About once a week,About once a week,1,1,1,1,1
73,5075,Person,4,wheels,spider,wheels,1,1,1,1,0,coding class at school,About once a day,Never,Never,1,1,1,1,1
74,3278,Person,2,wheels,spider,wheels,1,1,1,1,0,no experience with coding,NA,NA,NA,1,1,1,1,1
75,5193,AI,4,wheels,spider,wheels,1,1,1,1,NA,NA,About once a day,NA,About once a week,1,1,1,1,1
76,5662,AI,2,wheels,spider,wheels,1,0,1,1,3,coding class at school,Several times a day,NA,About once a day,1,1,1,1,1
77,2803,Person,3,spider,wheels,spider,1,1,1,1,NA,no experience with coding,Several times a day,About once a day,NA,1,1,1,1,1
78,2988,Person,3,spider,wheels,spider,1,1,1,1,1,no experience with coding,About once a day,Less than once a week,NA,1,1,1,1,1
79,2551,Person,3,spider,wheels,spider,1,1,1,1,1,no experience with coding,Several times a day,NA,NA,1,1,1,1,1
80,1121,Person,4,wheels,spider,spider,1,1,0,0,5,no experience with coding,Several times a day,About once a day,NA,1,1,1,1,0
81,3319,AI,3,spider,wheels,spider,1,1,1,1,2,no experience with coding,Several times a day,Less than once a week,Never,1,1,1,1,1
82,1215,Person,3,spider,wheels,spider,1,0,1,0,0,no experience with coding,Less than once a week,NA,NA,1,1,1,1,1
83,2610,AI,3,spider,wheels,spider,1,0,0,0,2,no experience with coding,About once a day,About once a week,NA,1,1,1,1,1
84,2491,AI,1,spider,wheels,spider,1,1,1,1,0,"coding apps at home (e.g., Osmo, Scratch, Kodable)",Less than once a week,Never,Never,1,1,1,1,1
85,5710,Person,4,wheels,spider,wheels,1,1,1,1,2,"coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a day,Several times a day,Several times a day,1,1,1,1,1
86,3639,AI,4,wheels,spider,wheels,1,1,1,1,2,no experience with coding,Several times a day,Less than once a week,NA,1,1,1,1,1
87,3900,Person,1,spider,wheels,spider,1,1,1,1,NA,NA,Several times a day,NA,About once a week,1,1,1,1,1
88,2034,AI,3,spider,wheels,spider,1,0,0,0,2,"coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,Never,NA,1,1,1,1,1
89,5078,Person,1,spider,wheels,spider,1,1,1,1,NA,NA,About once a day,About once a day,About once a day,1,1,1,1,1
90,5078,AI,1,spider,wheels,spider,1,1,1,1,1,no experience with coding,Several times a day,Less than once a week,NA,1,1,1,1,1
91,3476,Person,3,spider,wheels,spider,1,1,1,1,0,"coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a week,Never,Never,1,1,1,1,1
92,3977,AI,2,wheels,spider,wheels,1,1,1,1,1,coding class at school,Several times a day,About once a day,Several times a day,1,1,1,1,1
93,2523,Person,2,wheels,spider,wheels,1,1,1,1,1,coding class at school,Several times a day,Several times a day,Several times a day,1,1,1,1,1
94,5042,AI,2,wheels,spider,wheels,1,1,1,1,NA,NA,About once a week,NA,About once a week,1,1,1,1,1
95,3776,Person,2,wheels,spider,wheels,1,1,1,1,0,"coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a day,Never,Never,1,1,1,1,1
96,3408,Person,1,spider,wheels,spider,1,0,0,1,0,no experience with coding,Several times a day,NA,NA,1,1,1,1,1
97,4059,Person,1,spider,wheels,spider,1,1,1,1,NA,NA,Several times a day,NA,NA,1,1,1,1,1
98,3256,AI,4,wheels,spider,wheels,1,1,1,1,NA,no experience with coding,About once a day,NA,Several times a day,1,1,1,1,1
99,1548,AI,2,wheels,spider,wheels,1,1,1,1,NA,NA,About once a day,NA,Several times a day,1,1,1,1,1
100,2628,AI,4,wheels,spider,wheels,1,1,1,1,0,no experience with coding,Several times a day,NA,NA,1,1,1,1,1
101,1954,Person,4,wheels,spider,wheels,1,0,0,0,1,no experience with coding,About once a week,About once a week,About once a week,1,1,1,1,1
102,4140,AI,1,spider,wheels,spider,1,0,0,1,0,no experience with coding,Several times a day,NA,NA,1,1,1,1,1
103,3852,AI,4,wheels,spider,wheels,1,1,1,1,6,coding class at school,About once a day,Several times a day,About once a day,1,1,1,1,1
104,1199,AI,1,spider,wheels,wheels,1,0,0,0,0,no experience with coding,About once a day,NA,NA,1,1,1,1,0
105,1357,AI,2,wheels,spider,spider,1,0,0,0,0,no experience with coding,About once a day,Never,Never,1,1,1,1,0
106,1372,AI,4,wheels,spider,wheels,1,0,0,0,NA,NA,Several times a day,NA,About once a day,1,1,1,1,1
107,3713,AI,1,spider,wheels,spider,1,1,1,1,5,after school programs or camps related to coding,Several times a day,Several times a day,Several times a day,1,1,1,1,1
108,3866,Person,1,spider,wheels,spider,1,1,1,1,5,"coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a day,Several times a day,Several times a day,1,1,1,1,1
109,4608,Person,1,spider,wheels,spider,1,0,1,1,NA,NA,About once a day,Less than once a week,NA,1,1,1,1,1
110,4608,AI,3,spider,wheels,spider,1,0,0,1,1,no experience with coding,About once a week,Several times a day,NA,1,1,1,1,1
111,2895,AI,1,spider,wheels,spider,1,1,1,1,1,"after school programs or camps related to coding,coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a week,NA,NA,1,1,1,1,1
112,3871,AI,2,wheels,spider,wheels,1,1,1,1,1,NA,About once a day,NA,About once a day,1,1,1,1,1
113,3622,Person,1,spider,wheels,spider,1,1,1,1,4,"coding class at school,after school programs or camps related to coding",Several times a day,Several times a day,Several times a day,1,1,1,1,1
114,4964,Person,1,spider,wheels,spider,1,1,1,1,0,"coding class at school,coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,Never,About once a day,1,1,1,1,1
115,1134,Person,4,wheels,spider,wheels,1,0,0,1,2,no experience with coding,Less than once a week,Several times a day,Several times a day,1,1,1,1,1
116,2499,Person,3,spider,wheels,spider,1,1,1,1,5,coding class at school,About once a week,Several times a day,Several times a day,1,1,1,1,1
117,1232,AI,4,wheels,spider,spider,1,1,1,1,1,no experience with coding,About once a week,About once a week,About once a week,1,1,1,1,0
118,4591,Person,2,wheels,spider,wheels,1,1,1,1,3,"coding class at school,coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,Less than once a week,NA,1,1,1,1,1
119,1773,AI,3,spider,wheels,spider,1,1,1,1,3,no experience with coding,About once a day,About once a week,About once a week,1,1,1,1,1
120,4913,Person,1,spider,wheels,spider,1,1,1,1,3,"coding class at school,after school programs or camps related to coding,coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,About once a day,Several times a day,1,1,1,1,1
121,4913,AI,2,wheels,spider,wheels,1,1,1,1,1,no experience with coding,Several times a day,Several times a day,Several times a day,1,1,1,1,1
122,4478,Person,2,wheels,spider,wheels,1,1,1,1,1,coding class at school,Several times a day,Several times a day,Several times a day,1,1,1,1,1
123,4993,Person,2,wheels,spider,wheels,1,1,1,1,3,"coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,About once a day,About once a day,1,1,1,1,1
124,3757,Person,4,wheels,spider,wheels,1,1,0,0,3,NA,Several times a day,Several times a day,Several times a day,1,1,1,1,1
125,5424,Person,4,wheels,spider,wheels,1,1,1,1,1,"coding class at school,after school programs or camps related to coding,coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,NA,NA,1,1,1,1,1
126,2281,AI,3,spider,wheels,spider,1,1,1,1,1,no experience with coding,About once a day,Several times a day,Several times a day,1,1,1,1,1
127,2492,AI,3,spider,wheels,spider,1,0,0,0,0,no experience with coding,Less than once a week,Never,Never,1,1,1,1,1
128,4937,Person,3,spider,wheels,spider,1,1,1,1,2,"coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,Several times a day,Several times a day,1,1,1,1,1
129,2875,AI,4,wheels,spider,wheels,1,1,1,1,3,"coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a week,About once a day,NA,1,1,1,1,1
130,4420,Person,1,spider,wheels,spider,1,1,1,1,7,"coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a day,Several times a day,Several times a day,1,1,1,1,1
131,2735,Person,4,wheels,spider,wheels,1,1,1,1,5,no experience with coding,About once a day,About once a day,NA,1,1,1,1,1
132,1881,Person,2,wheels,spider,wheels,1,1,1,1,0,no experience with coding,About once a day,Less than once a week,NA,1,1,1,1,1
133,4940,AI,1,spider,wheels,wheels,1,1,1,1,7,"coding class at school,after school programs or camps related to coding,coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,Several times a day,Several times a day,1,1,1,1,0
134,4152,AI,3,spider,wheels,wheels,1,1,1,1,1,"coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a week,About once a day,About once a day,1,1,1,1,0
135,2975,AI,2,wheels,spider,wheels,1,1,1,1,0,"coding class at school,coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a week,Never,Never,1,1,1,1,1
136,3098,AI,3,spider,wheels,spider,1,1,1,1,NA,NA,Several times a day,NA,About once a day,1,1,1,1,1
137,3075,Person,2,wheels,spider,wheels,1,1,1,1,0,coding class at school,About once a week,Never,NA,1,1,1,1,1
138,4110,AI,4,wheels,spider,wheels,1,1,1,1,3,"coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,NA,Several times a day,1,1,1,1,1
139,1908,Person,2,wheels,spider,spider,1,1,1,1,2,no experience with coding,About once a day,Less than once a week,NA,1,1,1,1,0
140,4109,Person,3,spider,wheels,spider,1,1,1,1,NA,NA,Several times a day,Never,About once a week,1,1,1,1,1
141,1893,AI,4,wheels,spider,wheels,1,1,1,1,0,no experience with coding,About once a day,NA,About once a day,1,1,1,1,1
