age_days,condition,counterbalance,attn1,attn2,test,attn3,rachel_false_belief,diana_false_belief,allie_false_belief,num_speakers,coding_experience,smartphone_frequency,smart_speaker_frequency,voice_assistant_frequency,pass_attn1,pass_attn2,pass_attn3,pass_all_attn,chose_song_1
2609,Person,2,wheels,spider,wheels,1,1,1,1,2,no experience with coding,About once a week,About once a day,About once a day,1,1,1,1,1
4201,Person,4,wheels,spider,wheels,1,1,1,1,2,after school programs or camps related to coding,About once a day,About once a day,About once a day,1,1,1,1,1
3179,Person,4,wheels,spider,wheels,1,1,1,1,4,after school programs or camps related to coding,Several times a day,Several times a day,Several times a day,1,1,1,1,1
2231,Person,2,wheels,spider,wheels,1,1,1,1,1,no experience with coding,Several times a day,About once a day,About once a week,1,1,1,1,1
4608,Person,3,spider,wheels,spider,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,1
4608,Person,1,spider,wheels,spider,1,1,1,1,NA,NA,About once a day,Less than once a week,NA,1,1,1,1,1
3252,Person,3,spider,wheels,spider,1,1,1,1,0,no experience with coding,Several times a day,Never,Never,1,1,1,1,1
1495,Person,2,wheels,spider,wheels,1,1,0,0,NA,NA,About once a week,NA,NA,1,1,1,1,1
2010,Person,4,wheels,spider,wheels,1,1,1,1,NA,NA,About once a day,NA,About once a week,1,1,1,1,1
1178,AI,3,spider,wheels,spider,1,0,0,0,4,no experience with coding,Less than once a week,About once a day,About once a day,1,1,1,1,1
2301,AI,2,wheels,spider,wheels,1,1,1,1,0,"after school programs or camps related to coding,coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a day,Less than once a week,NA,1,1,1,1,1
2445,AI,3,spider,wheels,spider,1,1,1,1,1,no experience with coding,Several times a day,About once a week,NA,1,1,1,1,1
4505,AI,2,wheels,spider,spider,1,1,1,1,6,"coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a day,About once a day,About once a day,1,1,1,1,0
4485,Person,4,wheels,spider,wheels,1,1,1,1,NA,NA,Less than once a week,Less than once a week,NA,1,1,1,1,1
4168,Person,4,wheels,spider,wheels,1,1,1,1,NA,coding class at school,About once a day,Less than once a week,About once a week,1,1,1,1,1
3284,AI,4,wheels,spider,wheels,1,1,1,1,2,coding class at school,Several times a day,Several times a day,Several times a day,1,1,1,1,1
1524,Person,3,spider,wheels,wheels,1,1,1,1,2,no experience with coding,Less than once a week,Less than once a week,Never,1,1,1,1,0
1530,Person,2,wheels,spider,spider,1,1,1,1,1,no experience with coding,About once a day,Never,Never,1,1,1,1,0
2963,Person,2,wheels,spider,wheels,1,1,1,1,3,"coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,Less than once a week,Several times a day,1,1,1,1,1
2768,AI,3,spider,wheels,spider,1,0,0,0,3,no experience with coding,About once a day,Several times a day,Several times a day,1,1,1,1,1
1981,Person,1,spider,wheels,spider,1,0,0,0,NA,no experience with coding,NA,NA,NA,1,1,1,1,1
1515,Person,1,spider,wheels,wheels,1,1,1,0,0,no experience with coding,About once a week,Never,Never,1,1,1,1,0
5122,Person,4,wheels,spider,wheels,1,1,1,1,0,no experience with coding,Several times a day,NA,NA,1,1,1,1,1
2368,AI,2,wheels,spider,wheels,1,1,1,1,3,"coding apps at home (e.g., Osmo, Scratch, Kodable)",Less than once a week,About once a day,Never,1,1,1,1,1
5257,AI,3,spider,wheels,wheels,1,1,1,1,2,no experience with coding,Several times a day,About once a day,About once a day,1,1,1,1,0
3480,AI,3,spider,wheels,spider,1,1,1,1,NA,"after school programs or camps related to coding,coding apps at home (e.g., Osmo, Scratch, Kodable),no experience with coding",NA,NA,NA,1,1,1,1,1
1993,AI,2,wheels,spider,wheels,1,1,1,1,1,no experience with coding,Several times a day,Several times a day,Several times a day,1,1,1,1,1
3028,AI,4,wheels,spider,wheels,1,0,1,0,5,no experience with coding,Several times a day,Several times a day,Several times a day,1,1,1,1,1
5013,AI,1,spider,wheels,spider,1,1,1,1,0,"coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,Less than once a week,NA,1,1,1,1,1
1288,Person,2,wheels,spider,spider,1,1,1,1,0,no experience with coding,About once a day,Never,Never,1,1,1,1,0
3019,Person,3,spider,wheels,spider,1,1,1,1,2,no experience with coding,About once a day,About once a week,About once a day,1,1,1,1,1
3054,Person,1,spider,wheels,spider,1,1,1,1,1,no experience with coding,Several times a day,Never,About once a week,1,1,1,1,1
1578,Person,1,spider,wheels,spider,1,0,0,0,4,NA,About once a day,About once a day,About once a day,1,1,1,1,1
2965,AI,4,wheels,spider,wheels,1,1,1,0,2,after school programs or camps related to coding,Several times a day,NA,About once a day,1,1,1,1,1
1572,Person,3,spider,wheels,wheels,1,0,0,0,0,no experience with coding,About once a day,NA,NA,1,1,1,1,0
2064,AI,4,wheels,spider,wheels,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,1
3425,AI,2,wheels,spider,wheels,1,1,1,1,2,"coding class at school,coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,Less than once a week,About once a day,1,1,1,1,1
3425,AI,3,spider,wheels,spider,1,1,1,1,1,"coding class at school,after school programs or camps related to coding,coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,Never,About once a day,1,1,1,1,1
3147,Person,1,spider,wheels,spider,1,1,1,1,3,"coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a day,About once a day,Several times a day,1,1,1,1,1
5302,AI,3,spider,wheels,spider,1,1,1,1,0,no experience with coding,Less than once a week,Never,Never,1,1,1,1,1
4245,AI,4,wheels,spider,wheels,1,1,1,1,4,"coding class at school,after school programs or camps related to coding,coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,About once a day,About once a day,1,1,1,1,1
2303,Person,4,wheels,spider,wheels,1,1,1,1,0,"coding class at school,coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a day,Never,Never,1,1,1,1,1
4943,Person,2,wheels,spider,wheels,1,1,1,1,3,no experience with coding,Several times a day,About once a day,About once a day,1,1,1,1,1
4766,Person,3,spider,wheels,spider,1,1,1,1,NA,no experience with coding,About once a day,NA,About once a week,1,1,1,1,1
2778,Person,4,wheels,spider,wheels,1,1,0,1,1,no experience with coding,Several times a day,About once a week,About once a week,1,1,1,1,1
2391,Person,2,wheels,spider,wheels,1,0,0,0,0,coding class at school,Several times a day,Never,Never,1,1,1,1,1
3873,Person,2,wheels,spider,wheels,1,1,1,1,0,"coding class at school,after school programs or camps related to coding",About once a day,NA,NA,1,1,1,1,1
3873,Person,2,wheels,spider,wheels,1,1,1,1,0,"coding class at school,after school programs or camps related to coding",About once a day,Never,Never,1,1,1,1,1
4954,AI,1,spider,wheels,spider,1,1,1,1,3,"after school programs or camps related to coding,coding apps at home (e.g., Osmo, Scratch, Kodable)",Less than once a week,Several times a day,About once a day,1,1,1,1,1
3070,AI,2,wheels,spider,wheels,1,0,1,1,6,"after school programs or camps related to coding,coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a day,Several times a day,Several times a day,1,1,1,1,1
3324,AI,1,spider,wheels,spider,1,1,1,1,2,no experience with coding,Several times a day,About once a week,NA,1,1,1,1,1
3289,AI,2,wheels,spider,wheels,1,0,0,0,NA,NA,About once a day,NA,NA,1,1,1,1,1
3861,Person,4,wheels,spider,wheels,1,1,1,1,4,no experience with coding,About once a day,About once a day,About once a day,1,1,1,1,1
2970,AI,1,spider,wheels,spider,1,1,1,1,1,no experience with coding,Several times a day,Several times a day,Several times a day,1,1,1,1,1
3720,Person,1,spider,wheels,spider,1,1,1,0,3,after school programs or camps related to coding,Several times a day,Several times a day,Several times a day,1,1,1,1,1
4425,AI,3,spider,wheels,spider,1,1,1,1,1,coding class at school,Several times a day,About once a day,NA,1,1,1,1,1
3398,Person,2,wheels,spider,wheels,1,1,1,1,NA,NA,About once a day,NA,NA,1,1,1,1,1
1167,AI,2,wheels,spider,wheels,1,0,1,0,1,no experience with coding,Several times a day,Less than once a week,NA,1,1,1,1,1
3706,Person,1,spider,wheels,spider,1,1,1,1,1,no experience with coding,About once a week,Several times a day,Never,1,1,1,1,1
2164,Person,2,wheels,spider,spider,1,1,1,1,0,no experience with coding,About once a day,Never,Never,1,1,1,1,0
4918,Person,1,spider,wheels,spider,1,1,1,1,1,no experience with coding,NA,NA,NA,1,1,1,1,1
4918,Person,2,wheels,spider,wheels,1,1,1,1,1,no experience with coding,Several times a day,About once a day,About once a day,1,1,1,1,1
4640,AI,2,wheels,spider,spider,1,1,1,1,NA,"coding class at school,coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,Less than once a week,About once a week,1,1,1,1,0
2943,Person,2,wheels,spider,wheels,1,1,1,1,2,no experience with coding,About once a week,Never,About once a day,1,1,1,1,1
4881,Person,4,wheels,spider,wheels,1,1,1,1,4,after school programs or camps related to coding,Several times a day,About once a day,About once a day,1,1,1,1,1
1489,Person,4,wheels,spider,spider,1,0,0,0,0,no experience with coding,Never,Never,Never,1,1,1,1,0
2692,AI,2,wheels,spider,wheels,1,1,1,1,0,"coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a day,Less than once a week,NA,1,1,1,1,1
3467,AI,4,wheels,spider,wheels,1,0,0,0,NA,NA,Less than once a week,NA,NA,1,1,1,1,1
2928,AI,3,spider,wheels,spider,1,1,1,1,1,"coding class at school,coding apps at home (e.g., Osmo, Scratch, Kodable)",Less than once a week,Less than once a week,NA,1,1,1,1,1
4100,AI,1,spider,wheels,spider,1,1,1,1,NA,NA,Several times a day,NA,About once a week,1,1,1,1,1
4112,Person,3,spider,wheels,spider,1,1,1,1,8,no experience with coding,Several times a day,Several times a day,Several times a day,1,1,1,1,1
2886,Person,4,wheels,spider,wheels,1,1,1,1,1,NA,About once a day,Never,About once a day,1,1,1,1,1
3825,AI,1,spider,wheels,spider,1,1,1,1,1,after school programs or camps related to coding,Several times a day,NA,About once a day,1,1,1,1,1
3473,Person,2,wheels,spider,wheels,1,1,1,1,3,no experience with coding,Several times a day,NA,NA,1,1,1,1,1
3242,Person,2,wheels,spider,wheels,1,1,1,0,3,"coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a day,Several times a day,Several times a day,1,1,1,1,1
3378,AI,3,spider,wheels,spider,1,1,1,1,4,NA,About once a day,About once a day,About once a day,1,1,1,1,1
5175,AI,4,wheels,spider,spider,1,1,1,1,0,no experience with coding,About once a day,Less than once a week,About once a day,1,1,1,1,0
4364,Person,4,wheels,spider,wheels,1,1,1,1,4,"coding class at school,coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,About once a week,NA,1,1,1,1,1
4510,Person,2,wheels,spider,wheels,1,1,1,1,NA,coding class at school,About once a day,Never,About once a week,1,1,1,1,1
3452,AI,1,spider,wheels,spider,1,1,1,1,NA,NA,Several times a day,NA,About once a week,1,1,1,1,1
3545,AI,1,spider,wheels,spider,1,1,1,1,0,"coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a week,Never,Never,1,1,1,1,1
5055,Person,1,spider,wheels,spider,1,1,1,1,5,"coding class at school,coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,About once a day,About once a day,1,1,1,1,1
4123,Person,4,wheels,spider,wheels,1,1,1,1,4,"after school programs or camps related to coding,coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a day,Several times a day,Several times a day,1,1,1,1,1
5583,AI,2,wheels,spider,spider,1,1,1,1,NA,coding class at school,NA,NA,NA,1,1,1,1,0
2793,AI,4,wheels,spider,wheels,1,1,1,1,2,no experience with coding,About once a day,About once a day,About once a day,1,1,1,1,1
2665,Person,4,wheels,spider,wheels,1,1,1,1,1,no experience with coding,About once a week,Several times a day,Several times a day,1,1,1,1,1
3998,AI,2,wheels,spider,wheels,1,1,1,1,1,"coding class at school,after school programs or camps related to coding,coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a day,Less than once a week,NA,1,1,1,1,1
2556,Person,3,spider,wheels,spider,1,1,1,1,2,no experience with coding,Several times a day,About once a day,About once a day,1,1,1,1,1
1905,Person,4,wheels,spider,spider,1,1,1,0,3,no experience with coding,About once a week,About once a week,NA,1,1,1,1,0
3001,Person,3,spider,wheels,spider,1,1,1,0,2,no experience with coding,Never,Less than once a week,Never,1,1,1,1,1
2764,AI,4,wheels,spider,wheels,1,0,0,1,1,no experience with coding,About once a day,About once a day,Several times a day,1,1,1,1,1
1200,AI,1,spider,wheels,wheels,1,0,0,0,0,no experience with coding,About once a week,Never,Never,1,1,1,1,0
5181,AI,3,spider,wheels,wheels,1,1,1,1,6,"after school programs or camps related to coding,coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a week,About once a day,About once a day,1,1,1,1,0
2652,Person,3,spider,wheels,spider,1,1,0,1,3,no experience with coding,About once a week,Never,Never,1,1,1,1,1
4825,Person,3,spider,wheels,spider,1,1,1,1,12,coding class at school,About once a day,Several times a day,Several times a day,1,1,1,1,1
4971,AI,4,wheels,spider,wheels,1,1,1,1,1,"coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a day,About once a week,About once a week,1,1,1,1,1
3302,AI,4,wheels,spider,spider,1,1,1,1,2,"after school programs or camps related to coding,coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,About once a day,NA,1,1,1,1,0
2106,Person,1,spider,wheels,wheels,1,0,0,1,1,no experience with coding,Less than once a week,Never,Never,1,1,1,1,0
4044,Person,4,wheels,spider,wheels,1,1,1,1,4,after school programs or camps related to coding,About once a day,About once a day,About once a day,1,1,1,1,1
2006,Person,1,spider,wheels,spider,1,1,1,1,3,no experience with coding,About once a day,About once a week,About once a day,1,1,1,1,1
2537,Person,2,wheels,spider,wheels,1,1,1,1,3,no experience with coding,About once a day,About once a day,About once a day,1,1,1,1,1
1981,AI,2,wheels,spider,wheels,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,1
2403,AI,2,wheels,spider,wheels,1,1,1,1,0,no experience with coding,Less than once a week,NA,NA,1,1,1,1,1
4178,Person,1,spider,wheels,spider,1,0,0,0,0,"coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a day,Less than once a week,NA,1,1,1,1,1
2297,Person,3,spider,wheels,spider,1,0,0,0,2,no experience with coding,Several times a day,Less than once a week,Never,1,1,1,1,1
2491,Person,1,spider,wheels,spider,1,1,1,1,1,no experience with coding,About once a day,Never,Never,1,1,1,1,1
3503,Person,4,wheels,spider,wheels,1,1,1,1,2,coding class at school,Never,About once a week,NA,1,1,1,1,1
1153,Person,2,wheels,spider,spider,1,0,1,0,0,no experience with coding,About once a day,Never,About once a week,1,1,1,1,0
2181,AI,4,wheels,spider,wheels,1,1,1,1,3,no experience with coding,Several times a day,About once a week,About once a week,1,1,1,1,1
2469,Person,1,spider,wheels,spider,1,1,1,1,0,no experience with coding,Several times a day,Never,NA,1,1,1,1,1
4679,Person,1,spider,wheels,spider,1,1,1,1,0,"coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,Less than once a week,About once a day,1,1,1,1,1
4226,Person,4,wheels,spider,wheels,1,1,1,1,NA,no experience with coding,Several times a day,About once a day,About once a day,1,1,1,1,1
4710,Person,3,spider,wheels,wheels,1,1,1,1,NA,NA,About once a day,NA,Several times a day,1,1,1,1,0
2164,Person,4,wheels,spider,wheels,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,1
2874,Person,2,wheels,spider,wheels,1,1,1,1,6,coding class at school,About once a week,About once a day,Several times a day,1,1,1,1,1
5681,Person,2,wheels,spider,wheels,1,1,1,1,1,coding class at school,Several times a day,Never,About once a week,1,1,1,1,1
2052,AI,1,spider,wheels,spider,1,1,1,1,4,no experience with coding,About once a week,About once a week,NA,1,1,1,1,1
2486,AI,2,wheels,spider,wheels,1,1,1,1,2,no experience with coding,About once a week,About once a day,About once a day,1,1,1,1,1
3660,Person,4,wheels,spider,wheels,1,1,1,1,0,coding class at school,Several times a day,NA,Several times a day,1,1,1,1,1
4177,Person,2,wheels,spider,wheels,1,1,1,1,0,no experience with coding,Several times a day,Never,NA,1,1,1,1,1
4027,Person,4,wheels,spider,wheels,1,1,1,1,3,"coding class at school,coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a day,About once a week,NA,1,1,1,1,1
1838,Person,1,spider,wheels,spider,1,1,1,1,1,no experience with coding,About once a week,Never,Never,1,1,1,1,1
1370,Person,2,wheels,spider,spider,1,0,0,0,1,no experience with coding,About once a week,NA,NA,1,1,1,1,0
1638,AI,4,wheels,spider,wheels,1,0,0,0,NA,NA,Less than once a week,NA,NA,1,1,1,1,1
1715,AI,2,wheels,spider,wheels,1,1,0,0,0,no experience with coding,About once a day,Never,Never,1,1,1,1,1
1734,Person,1,spider,wheels,spider,1,1,1,1,1,no experience with coding,About once a week,About once a week,About once a week,1,1,1,1,1
1266,Person,2,wheels,spider,wheels,1,0,0,1,0,no experience with coding,NA,NA,NA,1,1,1,1,1
4521,Person,4,wheels,spider,wheels,1,1,1,1,NA,"coding class at school,coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,NA,NA,1,1,1,1,1
4138,AI,4,wheels,spider,wheels,1,1,1,1,5,no experience with coding,About once a day,Several times a day,Several times a day,1,1,1,1,1
2228,Person,3,spider,wheels,spider,1,1,1,1,0,no experience with coding,About once a week,NA,NA,1,1,1,1,1
2986,AI,4,wheels,spider,wheels,1,0,0,0,NA,no experience with coding,About once a day,NA,NA,1,1,1,1,1
3630,AI,4,wheels,spider,wheels,1,1,1,1,1,"coding class at school,coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a day,About once a day,About once a day,1,1,1,1,1
3583,Person,2,wheels,spider,wheels,1,0,0,0,1,no experience with coding,About once a day,Never,Never,1,1,1,1,1
1209,Person,4,wheels,spider,wheels,1,0,0,0,4,no experience with coding,About once a week,Several times a day,Several times a day,1,1,1,1,1
1555,AI,1,spider,wheels,spider,1,0,0,0,0,no experience with coding,About once a week,Never,Never,1,1,1,1,1
1100,Person,1,spider,wheels,spider,1,0,0,1,NA,no experience with coding,Less than once a week,Less than once a week,NA,1,1,1,1,1
2397,Person,3,spider,wheels,spider,1,1,1,1,2,no experience with coding,Several times a day,About once a week,Never,1,1,1,1,1
3055,Person,3,spider,wheels,spider,1,1,1,0,NA,NA,Several times a day,About once a week,Several times a day,1,1,1,1,1
4721,AI,1,spider,wheels,spider,1,1,1,1,NA,coding class at school,Several times a day,NA,About once a day,1,1,1,1,1
3284,Person,3,spider,wheels,spider,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,1
3658,AI,1,spider,wheels,spider,1,1,1,0,3,"coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,Several times a day,Several times a day,1,1,1,1,1